Approved,"تمت الموافقة"
"Back to CMS","العودة إلى نظام إدارة المحتوى"
"Back to list","العودة إلى القائمة"
"Block Id","معرف الكتلة"
Blocks,الكتل
"Categories: bottom","الفئات: الأسفل"
"Categories: middle","الفئات: الوسط"
"Categories: top","الفئات: الأعلى"
"Category list","قائمة الفئات"
"CMS Block","كتلة نظام إدارة المحتوى"
"CMS Block was created successfully.","تم إنشاء كتلة CMS بنجاح."
"CMS Block was deactivated successfully.","تم إلغاء تنشيط كتلة CMS بنجاح."
"CMS Block was updated successfully.","تم تحديث كتلة CMS بنجاح."
Content,المحتوى
"Create block","إنشاء كتلة"
"Create CMS Block","إنشاء كتلة CMS"
"Edit block","تحرير الكتلة"
"Edit Block Glossary:","تحرير قاموس الكتلة:"
"Edit CMS Block:","تحرير كتلة CMS:"
"Edit placeholders","تحرير العناصر النائبة"
"Invalid data provided.","بيانات غير صالحة المقدمة."
"Is active:","هل نشط:"
"List of CMS blocks","قائمة من كتل CMS"
"Missing placeholders for selected template.","نقص العناصر النائبة للقالب المحدد."
n/a,"غير متوفر"
Name,الاسم
no,لا
"Overview of CMS Blocks","نظرة عامة على كتل CMS"
"Placeholder translations successfully updated.","تم تحديث ترجمة العناصر النائبة بنجاح."
"Product list","قائمة المنتجات"
Sales,المبيعات
Save,حفظ
"Selected template doesn't exist anymore","القالب المحدد لم يعد موجودًا"
"Selected template doesn't exist anymore.","القالب المحدد لم يعد موجودًا."
"Store relation","علاقة المتجر"
Template,القالب
Template:,القالب:
"Translation key:","مفتاح الترجمة:"
"Valid from","صالح من"
"Valid from:","صالح من (شامل):"
"Valid to","صالح حتى"
"Valid to:","صالح حتى (مستبعد):"
"View CMS Block:","عرض كتلة CMS:"
yes,نعم
"Create new CMS Block","إنشاء كتلة CMS جديدة"
"CMS content widgets usage information","معلومات استخدام واجهات برمجة التطبيقات لمحتوى CMS"
"CMS Block was activated successfully.","تم تنشيط كتلة CMS بنجاح."
"Edit Placeholder","تحرير العنصر النائب"
"Edit Block","تحرير الكتلة"
"Edit CMS Block Glossary","تحرير كتلة CMS قاموس"
