"Add Company Business Unit","Añadir Unidad de Negocio de la Empresa"
"Back to Company Business Units","Volver a las Unidades de Negocio de la Empresa"
"BU Name","Nombre de la UN"
"BU Parent","UN Padre"
"Company Business Unit","Unidad de Negocio de la Empresa"
"Company Business Unit ""%s"" has been created.","La Unidad de Negocio de la Empresa ""%s"" ha sido creada."
"Company Business Unit ""%s"" has been updated.","La Unidad de Negocio de la Empresa ""%s"" ha sido actualizada."
"Company Business Unit ""%s"" has not been created.","La Unidad de Negocio de la Empresa ""%s"" no ha sido creada."
"Company Business Unit ""%s"" has not been updated. A Business Unit cannot be set as a child to an own child Business Unit, please check the Business Unit hierarchy.","La Unidad de Negocio de la Empresa ""%s"" no ha sido actualizada. Una Unidad de Negocio no puede ser establecida como hija de una Unidad de Negocio propia, por favor revise la jerarquía de la Unidad de Negocio."
"Company Business Unit ""%s"" was deleted.","La Unidad de Negocio de la Empresa ""%s"" ha sido eliminada."
"Company name","Nombre de la Empresa"
"Company Units","Unidades de la Empresa"
"Create Company Business Unit","Crear Unidad de Negocio de la Empresa"
"Edit Company Business Unit","Editar Unidad de Negocio de la Empresa"
"List of Company Business Units","Lista de unidades de negocio de la empresa"
"No parent","Sin padre"
"Overview of Company Business Units","Resumen de las Unidades de Negocio de la Empresa"
Parent,Padre
Save,Guardar
"Select one","Seleccionar uno"
"You can not delete a business unit ""%s"" while it contains user","No se puede eliminar una unidad de negocio ""%s"" mientras contenga usuarios"
Address,Dirección
"Business Units","Unidades de Negocio"
"Business Unit","Unidad de Negocio"
"Business Unit name","Nombre de la Unidad de Negocio"
