"Add Content Item","إضافة عنصر المحتوى"
"Back to Content Items","العودة إلى عناصر المحتوى"
Cancel,إلغاء
"Content Item","عنصر المحتوى"
"Content Item ID","معرف عنصر المحتوى"
"Content Item Key","مفتاح عنصر المحتوى"
"Content Items","عناصر المحتوى"
"Content Type","نوع المحتوى"
"Create Content Item","إنشاء عنصر المحتوى"
Default,الافتراضي
"Edit Content Item","تعديل عنصر المحتوى"
"Edit Widget","تعديل الودجة"
Insert,إدراج
"Insert a Content Item","إدراج عنصر محتوى"
"Invalid data provided","البيانات المقدمة غير صالحة"
"List of Content Items","قائمة عناصر المحتوى"
Name,الاسم
"Overview of Content Items","نظرة عامة على عناصر المحتوى"
"Overwrite default by specifying a different list per specific locale","الكتابة فوق الافتراضي عن طريق تحديد عناصر محتوى مختلفة لكل لغة محددة"
"Overwrite default by specifying different content elements per specific locale","الكتابة فوق الافتراضي عن طريق تحديد عناصر محتوى مختلفة لكل لغة محددة"
"Please select a content item","يرجى تحديد عنصر المحتوى"
"Please select a template","يرجى تحديد قالب"
Save,حفظ
"Select a content item","حدد عنصر المحتوى"
"Select a template","حدد قالب"
Updated,"تم التحديث"
"Content item has been successfully created.","تم إنشاء عنصر المحتوى بنجاح"
"Content item has been successfully updated.","تم تحديث عنصر المحتوى بنجاح"
"Stock successfully updated","تم تحديث المخزون بنجاح"
"Move Up","تحريك لأعلى"
"Move Down","تحرك للأسفل"
