"<- Prev Step","<- Prev Step"
"Add Item","إضافة عنصر"
"Add Voucher","إضافة قسيمة"
"Added Items","العناصر المضافة"
"Billing address","عنوان الفوترة"
"Billing same as shipping","الفوترة نفسها كعنوان الشحن"
"Create Customer","إنشاء عميل"
"Create Order","إنشاء طلب"
"Customer is registered successfully.","تم تسجيل العميل بنجاح."
Discounts,الخصومات
"Dummy payment invoice","فاتورة الدفع الوهمية"
"Grand Total","المجموع الكلي"
"Invalid data provided.","البيانات المقدمة غير صالحة."
"Manual Order Entry","إدخال الطلب يدويًا"
Name,الاسم
"Next Step ->","الخطوة التالية ->"
"Order is created successfully.","تم إنشاء الطلب بنجاح."
"Order Source","مصدر الطلب"
Payment,الدفع
"Price to pay","السعر المطلوب للدفع"
Quantity,الكمية
Redeem,استبدال
Sales,المبيعات
Save,حفظ
"Select Customer","اختيار العميل"
"Select Products","اختيار المنتجات"
"Selecting a shipment method","اختيار طريقة الشحن"
Shipping,الشحن
"Shipping address","عنوان الشحن"
Sku,"رمز المنتج"
"Sub Total","المجموع الفرعي"
Submit,إرسال
"Submit order","تقديم الطلب"
"Submit Order","تقديم الطلب"
"Sum Gross Price","مجموع السعر الإجمالي"
Tax,الضريبة
"Unit Gross Price","سعر الوحدة الإجمالي"
Vouchers,قسائم
