"Back to Tax Rates","Retour aux taux d'imposition"
"Back to Tax Sets","Retour aux ensembles de taxes"
"Could not delete tax set. Is it assigned to product or shipping method?","Impossible de supprimer l'ensemble de taxes. Est-il assigné à un produit ou à une méthode d'expédition ?"
Country,Pays
"Create Tax Rate","Créer un taux d'imposition"
"Create Tax Set","Créer un ensemble de taxes"
"Created at","Créé le"
Delete,Supprimer
"Delete Tax Rate","Supprimer le taux d'imposition"
"Delete Tax Set","Supprimer l'ensemble de taxes"
Edit,Modifier
"Edit Tax Rate:","Modifier le taux d'imposition :"
"Edit Tax Set:","Modifier l'ensemble de taxes :"
"List of tax rates","Liste des taux d'imposition"
"List of tax sets","Liste des ensembles de taxes"
N/A,n/a
Name,Nom
"Overview of Tax Rates","Aperçu des taux d'imposition"
"Overview of Tax Sets","Aperçu des ensembles de taxes"
Percentage,Pourcentage
Save,Enregistrer
"Select country.","Sélectionner un pays."
"Tax rate %d was created successfully.","Le taux d'imposition %d a été créé avec succès."
"Tax rate %d was deleted successfully.","Le taux d'imposition %d a été supprimé avec succès."
"Tax rate %d was updated successfully.","Le taux d'imposition %d a été mis à jour avec succès."
"Tax Rate deletion confirmation","Le taux d'imposition a été supprimé avec succès"
"Tax rate details","Détails du taux d'imposition"
"Tax rate ID","ID du taux d'imposition"
"Tax rate with id %s doesn't exist","Le taux d'imposition avec l'ID %s n'existe pas"
"Tax rate with provided name, percentage and country already exists.","Le taux d'imposition avec le nom, le pourcentage et le pays fournis existe déjà."
"Tax rates","Taux d'imposition"
"Tax Rates","Taux d'imposition"
"Tax set %d was created successfully.","L'ensemble de taxes %d a été créé avec succès."
"Tax set %d was updated successfully.","L'ensemble de taxes %d a été mis à jour avec succès."
"Tax Set deletion confirmation","Êtes-vous sûr de vouloir supprimer cet ensemble de taxes ?"
"Tax set details","Détails de l'ensemble de taxes"
"Tax set ID","ID de l'ensemble de taxes"
"Tax set is not created. Please fill-in all required fields.","L'ensemble de taxes n'est pas créé. Veuillez remplir tous les champs obligatoires."
"Tax set with id %s doesn't exist","L'ensemble de taxes avec l'ID %s n'existe pas"
"Tax Set with name ""%name%"" already exists.","L'ensemble de taxes avec le nom ""%name%"" existe déjà."
"Tax Sets","Ensembles de taxes"
Taxes,Taxes
"The tax set has been deleted","L'ensemble de taxes a été supprimé"
"Updated at","Mis à jour à"
"View Tax Rate:","Voir le taux de taxe :"
"View Tax Set:","Voir l'ensemble de taxes :"
"You should choose one or more tax rates","Vous devez choisir un ou plusieurs taux de taxe"
"No country","Aucun pays"
"Edit Tax Rate","Modifier le taux de taxe"
"Edit Tax Set","Modifier l'ensemble de taxes"
